CustomerNo,Country,Currency,TransportType,Payment Term
1001,GERMANY,USD,SEA,60DAYS UPON MONTHLY CUT OFF
1004,TAIWAN,USD,AIR,60DAYS UPON MONTHLY CUT OFF
1005,USA,USD,SEA,90DAYS UPON MONTHLY CUT OFF
1006,MALAYSIA,USD,TRUCK,60DAYS UPON MONTHLY CUT OFF
1007,USA,USD,SEA,75 DAYS NETT
1008,JAPAN,USD,SEA,50 DAYS NET
1009,USA,USD,COURRIER,60 DAYS NET
1010,USA,USD,SEA,30DAYS UPON MONTHLY CUT OFF
1011,USA,USD,SEA,75 DAYS NETT
1012,MALAYSIA,RM,TRUCK,60 DAYS NET
1013,USA,USD,SEA,30DAYS UPON MONTHLY CUT OFF
1014,GERMANY,USD,AIR,60DAYS UPON MONTHLY CUT OFF
1015,MALAYSIA,RM,COURRIER,60DAYS UPON MONTHLY CUT OFF
1016,MALAYSIA,RM,COURRIER,90DAYS UPON MONTHLY CUT OFF
