VendorNo,Country,Currency,TradeTerm,TradeTermName,PaymentTerm
1001,SINGAPORE,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10001,SINGAPORE,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10002,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10003,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,45 DAYS NETT
10004,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10005,MALAYSIA,RM,DTD,DOOR TO DOOR,30DAYS UPON MONTHLY CUT OFF  
10007,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10008,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10010,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,90DAYS UPON MONTHLY CUT OFF
10011,HONG KONG,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10013,SINGAPORE,USD,FCA,FREE CARRIER,30 DAYS NETT 
10014,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10015,SINGAPORE,USD,FCA,FREE CARRIER,120DAYS UPON MONTHLY CUT OFF
10018,MALAYSIA,USD,FOB,FREIGHT ON BOARD,30DAYS UPON MONTHLY CUT OFF  
10019,MALAYSIA,USD,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
10020,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10021,TAIWAN,USD,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10022,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10024,MALAYSIA,RM,FOB,FREIGHT ON BOARD,30 DAYS NETT 
10025,TAIWAN,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10026,MALAYSIA,RM,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10027,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10028,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10029,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10030,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10032,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10033,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10034,SINGAPORE,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10035,SINGAPORE,USD,DDU,DELIVERED DUTY UNPAID,30DAYS UPON MONTHLY CUT OFF  
10036,SINGAPORE,USD,DAP,DELIVERED AT PLACE,60DAYS UPON MONTHLY CUT OFF
10037,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10038,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10040,SINGAPORE,USD,FCA,FREE CARRIER,60DAYS UPON MONTHLY CUT OFF
10043,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10044,MALAYSIA,USD,EXW,EX-WORKS OR EX-WAREHOUSE,60DAYS UPON MONTHLY CUT OFF
10046,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10047,MALAYSIA,USD,CIF,"COST, INSURANCE AND FREIGHT",30DAYS UPON MONTHLY CUT OFF  
10048,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10050,MALAYSIA,RM,CIF,"COST, INSURANCE AND FREIGHT",60DAYS UPON MONTHLY CUT OFF
10051,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10052,MALAYSIA,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10054,MALAYSIA,USD,DDU,DELIVERED DUTY UNPAID,90 DAYS NETT
10055,SINGAPORE,USD,EXW,EX-WORKS OR EX-WAREHOUSE,30DAYS UPON MONTHLY CUT OFF  
10058,SINGAPORE,USD,FCA,FREE CARRIER,30DAYS UPON MONTHLY CUT OFF  
10059,SINGAPORE,USD,FOB,FREIGHT ON BOARD,60DAYS UPON MONTHLY CUT OFF
10061,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
10062,MALAYSIA,RM,DDU,DELIVERED DUTY UNPAID,60DAYS UPON MONTHLY CUT OFF
